Country,ISO_Code,Level,GDLCODE,Region,"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Sierra Leone","SLE","National","SLEt","Total",,,,,,,,,,,,,,,83.1,82.5,81.8,81.1,80.5,79.8,79.2,78.5,77.9,72.4,67.0,61.5,56.1,50.6
"Somalia","SOM","National","SOMt","Total",,,,,,,,,,,,,93.7,88.8,83.8,78.9,74.0,69.1,64.1,59.2,54.3,49.4,44.4,39.5,,,,
"South Africa","ZAF","National","ZAFt","Total",,,,,37.3,35.8,34.3,32.8,31.2,29.7,28.2,26.7,25.2,23.7,22.2,20.7,19.2,17.7,16.2,14.7,13.2,12.1,11.0,9.95,8.86,7.77,6.68,5.59
"South Sudan","SSD","National","SSDt","Total",,,,,,,,,,,,,,,99.9,99.2,98.4,97.7,96.0,94.3,92.6,90.9,89.3,,,,,
"Sudan","SDN","National","SDNt","Total",,,,,,,77.2,76.1,75.0,73.9,72.8,71.7,70.6,69.5,68.4,67.3,66.2,65.1,65.1,65.1,63.0,61.0,59.0,56.9,54.9,52.9,50.8,
"Suriname","SUR","National","SURt","Total",,,,,,,,,,,,,12.8,11.8,10.8,9.75,8.73,7.71,6.69,5.67,4.65,3.63,2.61,,,,,
"Syria","SYR","National","SYRt","Total",,,,,,,,,,,,,0.58,0.58,0.58,0.58,0.58,0.58,0.58,,,,,,,,,
"Tajikistan","TJK","National","TJKt","Total",,,,,,,28.2,27.0,25.9,24.8,23.6,22.5,21.4,20.2,19.1,16.7,14.2,11.8,9.34,6.90,4.45,2.01,1.76,1.51,1.25,1.00,0.75,0.50
"Tanzania","TZA","National","TZAt","Total",90.4,90.3,90.1,89.9,89.8,89.6,89.2,88.9,88.5,88.2,87.9,87.6,87.3,87.0,86.0,85.1,84.2,83.2,82.3,81.4,78.8,76.2,73.6,71.1,68.5,65.9,63.3,60.7
"Thailand","THA","National","THAt","Total",,,,,,,,,,,,,1.17,1.06,0.94,0.83,0.72,0.60,0.49,0.38,0.26,0.15,0.15,0.15,0.15,0.15,0.15,0.15
"Timor Leste","TLS","National","TLSt","Total",,,,,,,,,,,,,,,,72.8,69.0,65.2,61.4,57.6,53.8,49.9,46.1,42.3,38.5,34.7,30.8,27.0
"Togo","TGO","National","TGOt","Total",,,,,83.4,82.2,81.0,79.7,78.5,77.3,76.1,74.8,73.6,72.4,71.1,69.9,67.4,64.9,62.4,60.0,57.5,55.0,52.5,50.0,47.5,45.0,42.5,
"Trinidad & Tobago","TTO","National","TTOt","Total",,,,,,,,,,,,,1.51,1.51,1.51,1.51,1.51,1.51,1.51,,,,,,,,,
"Tunisia","TUN","National","TUNt","Total",,,,,,,,,,,,,,,,,,,1.68,1.52,1.36,1.20,1.04,0.88,0.72,0.56,0.40,0.24
"Turkey","TUR","National","TURt","Total",11.4,10.7,10.1,9.41,8.76,8.10,7.45,6.79,6.08,5.37,4.67,3.96,3.25,2.84,2.44,2.03,1.63,1.22,1.00,0.78,0.57,0.35,0.13,0.09,0.05,0.01,,
"Turkmenistan","TKM","National","TKMt","Total",,,,,,,,,,,,,0.41,0.38,0.34,0.31,0.28,0.24,0.21,0.17,0.14,0.10,0.07,0.03,0.00,0.00,0.01,0.01
"Uganda","UGA","National","UGAt","Total",,97.8,97.4,96.9,96.5,96.1,95.7,95.3,94.9,94.5,94.0,92.9,91.8,90.7,89.6,88.5,86.3,84.0,81.7,79.5,77.2,76.0,74.7,73.4,72.1,70.9,69.6,68.3
"Ukraine","UKR","National","UKRt","Total",,,,,,,,,,,,0.08,0.22,0.37,0.51,0.66,0.80,0.71,0.61,0.52,0.42,0.33,0.24,0.14,0.05,,,
"Uruguay","URY","National","URYt","Total",,,,,,,,,,,,,,2.79,2.51,2.24,1.96,1.68,1.41,1.13,0.86,0.58,0.01,0.01,0.01,0.01,,
"Uzbekistan","UZB","National","UZBt","Total",,,8.06,7.60,7.13,6.67,6.21,5.74,5.28,4.82,4.36,3.89,3.43,2.97,2.50,2.04,1.58,1.11,0.65,,,,,,,,,
"Vanuatu","VUT","National","VUTt","Total",,,,,,,,,,,,,,53.9,53.9,53.9,53.9,53.9,53.9,53.9,,,,,,,,
"Venezuela","VEN","National","VENt","Total",,,,,,,,7.96,7.44,6.93,6.41,5.90,5.38,4.87,4.35,3.84,3.32,2.81,2.29,1.78,1.26,0.75,0.23,0.16,0.08,0.01,,
"Vietnam","VNM","National","VNMt","Total",,,,64.4,60.3,56.2,52.1,47.9,43.8,39.7,35.5,31.4,26.3,21.1,15.9,10.8,9.16,7.58,5.99,4.40,4.07,3.75,3.42,3.09,2.76,2.44,2.11,
"Yemen","YEM","National","YEMt","Total",61.2,60.7,60.3,59.8,59.3,58.8,58.4,55.6,52.8,49.9,47.1,44.3,41.5,38.7,35.9,33.1,32.1,31.1,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,,
"Zambia","ZMB","National","ZMBt","Total",,,77.2,77.6,77.9,78.3,78.6,79.0,79.3,79.7,80.0,80.4,79.4,78.3,77.3,76.3,75.3,73.1,71.0,68.9,66.7,64.6,62.5,60.4,59.9,59.4,58.9,58.4
"Zimbabwe","ZWE","National","ZWEt","Total",68.2,67.2,66.2,65.1,64.1,63.0,62.0,61.0,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,57.8,55.6,53.5,51.4,49.3,46.7,44.2,41.6,39.1,36.6,34.0,31.5
